True,Pred,AbsDiff,RelErr
1.6621,1.6553,0.0068339,0.41
2.3379,2.3435,0.0056489,0.24
1.8301,1.8392,0.0090551,0.49
2.1699,2.159,0.010915,0.5
1.066,1.0641,0.0018477,0.17
2.934,2.9362,0.0021379,0.07
3.8997,3.8996,1.2398e-05,0.0
0.10034,0.10433,0.0039887,3.98
3.557,3.5469,0.010105,0.28
0.44304,0.46275,0.019711,4.45
2.4468,2.42,0.026801,1.1
1.5532,1.5773,0.024062,1.55
0.086901,0.088563,0.0016623,1.91
3.9131,3.9134,0.00034618,0.01
1.6214,1.6516,0.030275,1.87
2.3786,2.3517,0.026911,1.13
2.6318,2.6046,0.027227,1.03
1.3682,1.3776,0.0094274,0.69
0.95016,0.97701,0.026847,2.83
3.0498,3.0359,0.013966,0.46
3.9657,3.9567,0.0089686,0.23
0.034336,0.068425,0.03409,99.28
2.193,2.1748,0.018155,0.83
1.807,1.8241,0.01704,0.94
0.6074,0.61598,0.0085759,1.41
3.3926,3.3864,0.0061872,0.18
2.1898,2.1808,0.0089929,0.41
1.8102,1.8202,0.0099744,0.55
2.3847,2.3699,0.014835,0.62
1.6153,1.6272,0.011874,0.74
1.1648,1.1665,0.0017071,0.15
2.8352,2.8314,0.0038211,0.13
0.0089484,0.015522,0.006574,73.47
3.9911,3.941,0.050081,1.25
2.7718,2.7547,0.017066,0.62
1.2282,1.2482,0.019967,1.63
0.68118,0.7065,0.025313,3.72
3.3188,3.294,0.024798,0.75
1.9648,1.9648,9.4533e-05,0.0
2.0352,2.0211,0.014124,0.69
0.31721,0.28562,0.031585,9.96
3.6828,3.6477,0.035057,0.95
3.3273,3.3141,0.013181,0.4
0.6727,0.69631,0.023609,3.51
3.6292,3.6278,0.0013566,0.04
0.37085,0.37556,0.0047139,1.27
1.2019,1.184,0.017885,1.49
2.7981,2.8084,0.010279,0.37
0.67334,0.70137,0.028031,4.16
3.3267,3.3291,0.0024464,0.07
3.3382,3.3323,0.0059197,0.18
0.66177,0.68822,0.02645,4.0
2.4715,2.4524,0.01907,0.77
1.5285,1.5289,0.00039864,0.03
1.9943,2.0038,0.0095192,0.48
2.0057,1.9959,0.0097578,0.49
1.9052,1.9218,0.016659,0.87
2.0948,2.0812,0.013638,0.65
0.26242,0.26699,0.0045695,1.74
3.7376,3.7243,0.013299,0.36
3.4337,3.4182,0.015494,0.45
0.56628,0.59273,0.026458,4.67
0.62298,0.64016,0.017183,2.76
3.377,3.3583,0.018719,0.55
2.7137,2.7292,0.015496,0.57
1.2863,1.2715,0.014764,1.15
0.0059865,0.013194,0.0072072,120.39
3.994,3.8387,0.15533,3.89
1.4571,1.4901,0.033016,2.27
2.5429,2.5123,0.030584,1.2
1.0047,1.0479,0.043208,4.3
2.9953,2.9721,0.023156,0.77
3.971,3.9544,0.016619,0.42
0.028988,0.031264,0.0022761,7.85
1.0212,1.0393,0.018071,1.77
2.9788,2.9564,0.022377,0.75
0.1488,0.15108,0.0022737,1.53
3.8512,3.8456,0.0056145,0.15
2.5046,2.4647,0.039945,1.59
1.4954,1.5279,0.032447,2.17
2.7328,2.7309,0.0019174,0.07
