True,Pred,AbsDiff,RelErr
1.6621,1.6666,0.0045005,0.27
2.3379,2.313,0.024817,1.06
1.8301,1.8224,0.0076785,0.42
2.1699,2.1764,0.0064969,0.3
1.066,1.0769,0.01092,1.02
2.934,2.9133,0.020722,0.71
3.8997,3.9123,0.012621,0.32
0.10034,0.064053,0.036285,36.16
3.557,3.5593,0.0023313,0.07
0.44304,0.41616,0.026873,6.07
2.4468,2.4469,0.00013304,0.01
1.5532,1.5643,0.01106,0.71
0.086901,0.068757,0.018144,20.88
3.9131,3.9144,0.0013318,0.03
1.6214,1.6295,0.0081079,0.5
2.3786,2.3841,0.0054722,0.23
2.6318,2.6272,0.0045698,0.17
1.3682,1.3783,0.010072,0.74
0.95016,0.90291,0.04725,4.97
3.0498,3.0427,0.0071678,0.24
3.9657,3.9746,0.0088923,0.22
0.034336,0.075726,0.04139,120.55
2.193,2.1897,0.0032983,0.15
1.807,1.7957,0.011362,0.63
0.6074,0.60798,0.00057781,0.1
3.3926,3.4014,0.0087676,0.26
2.1898,2.1991,0.0093346,0.43
1.8102,1.8039,0.0063347,0.35
2.3847,2.3694,0.015275,0.64
1.6153,1.6246,0.0093311,0.58
1.1648,1.145,0.01984,1.7
2.8352,2.8484,0.013229,0.47
0.0089484,0.017687,0.0087385,97.65
3.9911,3.9809,0.010158,0.25
2.7718,2.7743,0.0025015,0.09
1.2282,1.22,0.008202,0.67
0.68118,0.66896,0.012226,1.79
3.3188,3.3218,0.0029399,0.09
1.9648,1.9877,0.022968,1.17
2.0352,2.0238,0.011483,0.56
0.31721,0.27371,0.043493,13.71
3.6828,3.71,0.027177,0.74
3.3273,3.329,0.001683,0.05
0.6727,0.68157,0.0088664,1.32
3.6292,3.6333,0.0041771,0.12
0.37085,0.35245,0.018401,4.96
1.2019,1.1856,0.01626,1.35
2.7981,2.789,0.0091128,0.33
0.67334,0.62859,0.044755,6.65
3.3267,3.3299,0.0032361,0.1
3.3382,3.3423,0.0040598,0.12
0.66177,0.65053,0.011241,1.7
2.4715,2.4769,0.0054667,0.22
1.5285,1.5196,0.0089792,0.59
1.9943,2.0144,0.020105,1.01
2.0057,1.9946,0.0111,0.55
1.9052,1.9081,0.0028936,0.15
2.0948,2.0894,0.0054324,0.26
0.26242,0.21908,0.043346,16.52
3.7376,3.7388,0.0011971,0.03
3.4337,3.4256,0.0081182,0.24
0.56628,0.58854,0.022268,3.93
0.62298,0.62667,0.0036904,0.59
3.377,3.3861,0.0091145,0.27
2.7137,2.7158,0.0021338,0.08
1.2863,1.285,0.0012965,0.1
0.0059865,0.017029,0.011043,184.46
3.994,3.9809,0.01312,0.33
1.4571,1.4583,0.001183,0.08
2.5429,2.539,0.0038669,0.15
1.0047,0.99394,0.010772,1.07
2.9953,3.0082,0.0129,0.43
3.971,3.9638,0.0072153,0.18
0.028988,0.014174,0.014814,51.1
1.0212,1.0223,0.0010943,0.11
2.9788,2.9936,0.014873,0.5
0.1488,0.096583,0.052221,35.09
3.8512,3.8427,0.0084939,0.22
2.5046,2.5091,0.0045485,0.18
1.4954,1.4838,0.011574,0.77
2.7328,2.7158,0.01695,0.62
1.2672,1.259,0.0081822,0.65
1.2916,1.2992,0.0075678,0.59
2.7084,2.7086,0.00019264,0.01
2.3116,2.3066,0.005002,0.22
1.6884,1.7001,0.011727,0.69
3.9858,3.9809,0.0048842,0.12
0.014222,0.017098,0.0028762,20.22
3.165,3.1852,0.02017,0.64
0.83498,0.82004,0.014942,1.79
2.6063,2.6019,0.0043766,0.17
1.3937,1.369,0.024738,1.77
3.2906,3.3066,0.015983,0.49
0.70937,0.71604,0.0066791,0.94
1.6641,1.6824,0.018358,1.1
