True,Pred,AbsDiff,RelErr
1.6621,1.6839,0.021756,1.31
2.3379,2.3321,0.0057359,0.25
1.8301,1.8263,0.003835,0.21
2.1699,2.1917,0.021846,1.01
1.066,1.0748,0.0087749,0.82
2.934,2.9409,0.0068762,0.23
3.8997,3.9019,0.0022504,0.06
0.10034,0.063744,0.036594,36.47
3.557,3.5504,0.0065894,0.19
0.44304,0.43033,0.01271,2.87
2.4468,2.4455,0.0012586,0.05
1.5532,1.5746,0.021399,1.38
0.086901,0.067969,0.018932,21.79
3.9131,3.8986,0.014488,0.37
1.6214,1.635,0.013632,0.84
2.3786,2.3933,0.014687,0.62
2.6318,2.6318,2.861e-06,0.0
1.3682,1.3712,0.0029701,0.22
0.95016,0.95048,0.0003162,0.03
3.0498,3.0632,0.013393,0.44
3.9657,3.9635,0.0021696,0.05
0.034336,0.045664,0.011329,32.99
2.193,2.2111,0.018072,0.82
1.807,1.811,0.0040244,0.22
0.6074,0.59369,0.013709,2.26
3.3926,3.4051,0.01252,0.37
2.1898,2.1928,0.0030193,0.14
1.8102,1.8097,0.000489,0.03
2.3847,2.3677,0.016979,0.71
1.6153,1.6353,0.019957,1.24
1.1648,1.1586,0.0061646,0.53
2.8352,2.8378,0.0026305,0.09
0.0089484,0.012874,0.003926,43.87
3.9911,3.9635,0.027557,0.69
2.7718,2.7735,0.0017807,0.06
1.2282,1.2319,0.0036471,0.3
0.68118,0.67365,0.0075368,1.11
3.3188,3.3219,0.0030828,0.09
1.9648,1.9717,0.0069178,0.35
2.0352,1.9859,0.049318,2.42
0.31721,0.3005,0.016706,5.27
3.6828,3.6932,0.010361,0.28
3.3273,3.3213,0.0059507,0.18
0.6727,0.67451,0.0018102,0.27
3.6292,3.6202,0.0089159,0.25
0.37085,0.37578,0.00493,1.33
1.2019,1.1928,0.0090936,0.76
2.7981,2.818,0.019949,0.71
0.67334,0.64946,0.023888,3.55
3.3267,3.3181,0.0085664,0.26
3.3382,3.3414,0.0031931,0.1
0.66177,0.64833,0.013434,2.03
2.4715,2.4564,0.015008,0.61
1.5285,1.5446,0.016097,1.05
1.9943,2.0008,0.0064796,0.32
2.0057,2.0003,0.0054431,0.27
1.9052,1.9201,0.014914,0.78
2.0948,2.1037,0.0088696,0.42
0.26242,0.27116,0.00874,3.33
3.7376,3.7339,0.0037,0.1
3.4337,3.4552,0.021517,0.63
0.56628,0.56079,0.0054898,0.97
0.62298,0.60454,0.018439,2.96
3.377,3.3931,0.016041,0.47
2.7137,2.7448,0.031068,1.14
1.2863,1.2856,0.0007199,0.06
0.0059865,0.0072096,0.0012231,20.43
3.994,3.9635,0.030519,0.76
1.4571,1.4758,0.018755,1.29
2.5429,2.5584,0.015458,0.61
1.0047,0.99758,0.0071331,0.71
2.9953,2.9956,0.00032926,0.01
3.971,3.9635,0.0075173,0.19
0.028988,0.033911,0.0049228,16.98
1.0212,1.0167,0.0045485,0.45
2.9788,2.9855,0.0067139,0.23
0.1488,0.15186,0.0030579,2.05
3.8512,3.8515,0.00032425,0.01
2.5046,2.5152,0.010639,0.42
1.4954,1.4736,0.02178,1.46
2.7328,2.7309,0.0019186,0.07
1.2672,1.2699,0.0026698,0.21
1.2916,1.3001,0.0084844,0.66
2.7084,2.7202,0.011789,0.44
2.3116,2.3284,0.016769,0.73
1.6884,1.7169,0.028578,1.69
3.9858,3.9635,0.022284,0.56
0.014222,0.012075,0.0021473,15.1
3.165,3.1871,0.022071,0.7
0.83498,0.80873,0.026249,3.14
2.6063,2.6191,0.012834,0.49
1.3937,1.4075,0.013763,0.99
3.2906,3.3008,0.010184,0.31
0.70937,0.71917,0.0098028,1.38
1.6641,1.6562,0.007871,0.47
2.3359,2.357,0.021011,0.9
2.6566,2.7017,0.045156,1.7
1.3434,1.3229,0.020563,1.53
3.6789,3.6674,0.011566,0.31
0.32107,0.2997,0.021369,6.66
2.927,2.9237,0.0033007,0.11
1.073,1.0735,0.00049353,0.05
1.7344,1.781,0.046583,2.69
2.2656,2.3038,0.038184,1.69
2.8825,2.8504,0.0321,1.11
1.1175,1.0762,0.04133,3.7
3.7802,3.7701,0.010067,0.27
0.21984,0.22511,0.0052676,2.4
0.22535,0.21739,0.0079665,3.54
3.7746,3.7806,0.0059652,0.16
0.023581,0.022072,0.0015089,6.4
3.9764,3.9635,0.012924,0.33
2.1174,2.129,0.011633,0.55
1.8826,1.9025,0.019847,1.05
0.84818,0.86637,0.018189,2.14
3.1518,3.1627,0.010862,0.34
0.87461,0.87066,0.0039446,0.45
3.1254,3.1337,0.0082662,0.26
0.88337,0.87944,0.0039331,0.45
3.1166,3.1377,0.021123,0.68
3.1614,3.1914,0.029928,0.95
0.83857,0.84079,0.0022186,0.26
1.5075,1.5113,0.0037642,0.25
2.4925,2.5011,0.0085604,0.34
0.45406,0.44427,0.0097905,2.16
3.5459,3.5524,0.0065033,0.18
0.36426,0.36183,0.0024319,0.67
3.6357,3.6395,0.0037439,0.1
1.9153,1.9061,0.009196,0.48
2.0847,2.0925,0.0077777,0.37
3.9858,3.9635,0.022322,0.56
0.014183,0.01403,0.00015288,1.08
0.0044696,0.010238,0.0057686,129.06
3.9955,3.9635,0.032036,0.8
1.16,1.1588,0.0012214,0.11
2.84,2.8347,0.0052812,0.19
3.0626,3.1208,0.058203,1.9
0.93744,0.91461,0.022837,2.44
3.483,3.4876,0.0045319,0.13
0.51696,0.54281,0.025851,5.0
0.54573,0.5685,0.022768,4.17
3.4543,3.4353,0.018974,0.55
1.2191,1.2291,0.010035,0.82
2.7809,2.7749,0.0059874,0.22
1.0754,1.0799,0.0044906,0.42
2.9246,2.9101,0.014525,0.5
1.5313,1.54,0.0087304,0.57
2.4687,2.4764,0.0076642,0.31
1.5218,1.4915,0.030368,2.0
2.4782,2.4775,0.00070786,0.03
0.86971,0.87465,0.0049379,0.57
3.1303,3.1715,0.041231,1.32
2.016,2.0109,0.0050941,0.25
1.984,1.9793,0.0047078,0.24
3.3173,3.3204,0.003082,0.09
0.68268,0.66577,0.016906,2.48
1.6461,1.6637,0.01758,1.07
2.3539,2.3404,0.013504,0.57
2.6596,2.6693,0.0096679,0.36
1.3404,1.3275,0.012923,0.96
0.54672,0.55645,0.0097295,1.78
3.4533,3.456,0.0027585,0.08
3.4725,3.4924,0.019943,0.57
0.52753,0.52851,0.00097817,0.19
3.6161,3.6139,0.0021753,0.06
0.3839,0.36522,0.018674,4.86
1.4514,1.4658,0.014386,0.99
2.5486,2.5436,0.0049644,0.19
3.0325,3.0503,0.017844,0.59
0.96752,0.96156,0.0059609,0.62
2.0478,2.0558,0.0080574,0.39
1.9522,1.9635,0.011336,0.58
2.1397,2.1748,0.03512,1.64
1.8603,1.8439,0.016389,0.88
0.17067,0.18407,0.0134,7.85
3.8293,3.8389,0.0095396,0.25
3.7713,3.7696,0.0017192,0.05
0.22871,0.24978,0.02107,9.21
3.2337,3.2309,0.0028489,0.09
0.76629,0.75155,0.014732,1.92
1.8863,1.8977,0.011353,0.6
2.1137,2.1089,0.0047431,0.22
2.3381,2.3246,0.013471,0.58
1.6619,1.6581,0.0037959,0.23
3.8603,3.841,0.019355,0.5
0.13968,0.13069,0.0089911,6.44
0.40719,0.4155,0.0083098,2.04
3.5928,3.5848,0.0079956,0.22
2.127,2.1155,0.011487,0.54
1.873,1.8851,0.012089,0.65
2.9424,2.9372,0.0052392,0.18
1.0576,1.0557,0.0018613,0.18
0.80235,0.80351,0.0011577,0.14
3.1976,3.2176,0.019909,0.62
1.2132,1.2066,0.0066295,0.55
2.7868,2.8232,0.036451,1.31
0.32115,0.322,0.00084829,0.26
3.6789,3.678,0.0008986,0.02
2.9999,3.0109,0.011033,0.37
1.0001,0.99433,0.0057579,0.58
3.7931,3.7942,0.0011687,0.03
0.20693,0.2098,0.0028632,1.38
1.5832,1.5933,0.010163,0.64
2.4168,2.4234,0.0065413,0.27
3.3728,3.3885,0.015703,0.47
0.62718,0.61864,0.0085461,1.36
2.4409,2.4817,0.040777,1.67
1.5591,1.5358,0.023274,1.49
0.90584,0.89328,0.01256,1.39
3.0942,3.0896,0.004534,0.15
3.4125,3.4316,0.019145,0.56
0.58751,0.5787,0.0088103,1.5
0.2454,0.2412,0.0041971,1.71
3.7546,3.7649,0.010276,0.27
0.44316,0.44332,0.00016594,0.04
3.5568,3.5688,0.011915,0.33
1.027,1.028,0.0010601,0.1
2.973,2.9733,0.00026894,0.01
0.92066,0.9077,0.012962,1.41
3.0793,3.0951,0.015734,0.51
3.6495,3.6575,0.0079131,0.22
0.35045,0.36755,0.017094,4.88
1.3963,1.4078,0.011534,0.83
2.6037,2.5958,0.0078611,0.3
2.1531,2.1541,0.0010226,0.05
1.8469,1.8745,0.027521,1.49
0.80152,0.79034,0.01118,1.39
3.1985,3.2051,0.006578,0.21
2.0372,2.0464,0.0092008,0.45
1.9628,1.9555,0.0073403,0.37
0.85553,0.84864,0.00689,0.81
3.1445,3.1676,0.023082,0.73
0.7835,0.80194,0.018445,2.35
3.2165,3.215,0.0014744,0.05
2.1361,2.138,0.0019522,0.09
1.8639,1.8697,0.0057698,0.31
2.7031,2.7065,0.0033696,0.12
1.2969,1.2912,0.0056927,0.44
0.18118,0.18409,0.0029168,1.61
3.8188,3.823,0.0041399,0.11
3.9682,3.9635,0.0047309,0.12
0.031774,0.021793,0.0099808,31.41
3.6552,3.6534,0.0017409,0.05
0.34483,0.34523,0.00040096,0.12
3.2139,3.2329,0.018968,0.59
0.78608,0.77308,0.012998,1.65
3.2402,3.2241,0.016104,0.5
0.75984,0.73288,0.026957,3.55
0.76925,0.76301,0.006245,0.81
3.2307,3.2583,0.027547,0.85
1.4618,1.4966,0.034848,2.38
2.5382,2.558,0.019793,0.78
0.46523,0.4493,0.015936,3.43
3.5348,3.5255,0.0092793,0.26
0.52653,0.51245,0.014081,2.67
3.4735,3.4999,0.026388,0.76
3.7128,3.7034,0.0094385,0.25
0.28718,0.29773,0.010543,3.67
2.6257,2.6429,0.017203,0.66
1.3743,1.3683,0.0059919,0.44
2.2223,2.2331,0.010766,0.48
1.7777,1.7779,0.00028563,0.02
2.5188,2.5007,0.018098,0.72
1.4812,1.4838,0.0026379,0.18
2.3067,2.3386,0.031873,1.38
1.6933,1.6967,0.0034224,0.2
1.6935,1.6963,0.0027407,0.16
2.3065,2.3067,0.00029492,0.01
0.078638,0.056778,0.02186,27.8
3.9214,3.9185,0.0028577,0.07
3.9995,3.9635,0.036047,0.9
0.00045837,0.0073124,0.006854,1495.31
2.7087,2.717,0.0082216,0.3
1.2913,1.3158,0.02452,1.9
3.2744,3.2761,0.001754,0.05
0.72561,0.73822,0.012608,1.74
0.38628,0.39444,0.0081601,2.11
3.6137,3.6065,0.0072336,0.2
0.09775,0.081447,0.016304,16.68
3.9022,3.9337,0.031432,0.81
0.88216,0.88868,0.0065267,0.74
3.1178,3.1275,0.0096276,0.31
2.2224,2.2152,0.0071645,0.32
1.7776,1.7807,0.0030169,0.17
2.5333,2.5126,0.020707,0.82
1.4667,1.4494,0.017316,1.18
2.2093,2.212,0.0026796,0.12
1.7907,1.7985,0.0078701,0.44
0.95264,0.94101,0.011625,1.22
3.0474,3.0761,0.028753,0.94
0.25419,0.2299,0.024287,9.55
3.7458,3.7353,0.010463,0.28
1.3777,1.3982,0.020492,1.49
2.6223,2.6481,0.025856,0.99
1.1622,1.1606,0.0015577,0.13
2.8378,2.8446,0.0067949,0.24
0.19536,0.19659,0.0012375,0.63
3.8046,3.824,0.019366,0.51
2.7714,2.7696,0.0017917,0.06
1.2286,1.2361,0.007459,0.61
0.49284,0.49552,0.0026791,0.54
3.5072,3.5187,0.011543,0.33
0.90256,0.90621,0.003646,0.4
3.0974,3.1075,0.010048,0.32
3.6487,3.6687,0.020007,0.55
0.3513,0.34998,0.0013185,0.38
2.8186,2.8288,0.010197,0.36
1.1814,1.1891,0.0076846,0.65
0.47225,0.46762,0.0046239,0.98
3.5278,3.5374,0.0096607,0.27
1.7708,1.7702,0.00065875,0.04
2.2292,2.1909,0.038245,1.72
3.6956,3.7056,0.010005,0.27
0.30443,0.29835,0.0060749,2.0
3.2208,3.257,0.03619,1.12
0.77919,0.83943,0.060242,7.73
1.4708,1.4875,0.016745,1.14
2.5292,2.565,0.035808,1.42
3.4694,3.4666,0.0028343,0.08
0.53058,0.53495,0.0043631,0.82
0.26895,0.26996,0.001008,0.37
3.731,3.7323,0.0012589,0.03
1.4104,1.4338,0.023399,1.66
2.5896,2.5668,0.022852,0.88
1.0756,1.0953,0.019721,1.83
2.9244,2.9173,0.0070589,0.24
3.6256,3.6169,0.0087616,0.24
0.37438,0.37234,0.0020407,0.55
0.03214,0.02239,0.0097499,30.34
3.9679,3.9635,0.0043647,0.11
2.3027,2.3139,0.011235,0.49
1.6973,1.7093,0.011965,0.7
3.9789,3.9635,0.015408,0.39
0.021098,0.019603,0.0014955,7.09
3.3978,3.4068,0.0090249,0.27
