number;id;exp_x;exp_y;coeff
1;b0cde567bfea0a8c7b687b96735abf8c;0,1,0,1;0,0,1,1;0.030339,0.18864,-0.22861,0.031286
2;d9949f73cfdedb356e7cdb4a2f6b8d04;0,1,0,1;0,0,1,1;-0.030339,-0.18864,0.22861,-0.031286
3;77b1546d6bac2f4b8559d9352fe7bfea;0,1,0,1;0,0,1,1;0.061034,0.042502,-0.72821,0.039156
4;56c93dedef2216f8f7825a8e91850329;0,1,0,1;0,0,1,1;-0.061034,-0.042502,0.72821,-0.039156
5;035e8014af3b2ad2e8d3bfe274022b24;0,1,0,1;0,0,1,1;0.097375,-0.22802,0.16974,0.14263
6;c047bc7c37a0ae61001c6eb24c4f47c1;0,1,0,1;0,0,1,1;-0.097375,0.22802,-0.16974,-0.14263
7;6992af529f6a75fe99ef9e186c37a071;0,1,0,1;0,0,1,1;-0.37141,0.34536,0.045759,-0.18951
8;d87915a43727885f1c7c527a5302694f;0,1,0,1;0,0,1,1;0.37141,-0.34536,-0.045759,0.18951
9;282efed2bb841d7cc7849c9e7df27a49;0,1,0,1;0,0,1,1;-0.21301,0.063013,-0.18967,-0.3466
10;f49b26ee4f23e301e62b2d7436a8cd21;0,1,0,1;0,0,1,1;0.21301,-0.063013,0.18967,0.3466
11;8d5f2687cfcbb66953606de67955eaba;0,1,0,1;0,0,1,1;-0.073357,0.07563,-0.39832,-0.16004
12;173c57df600f7af12807986ed45bce6e;0,1,0,1;0,0,1,1;0.073357,-0.07563,0.39832,0.16004
13;1156cd42033697f47939b8dfc832fb50;0,1,0,1;0,0,1,1;0.48637,0.1224,0.16201,-0.42601
14;95c4651f24b086902ff0ed0e78c4cee8;0,1,0,1;0,0,1,1;-0.48637,-0.1224,-0.16201,0.42601
15;b85e2b94563e2fdff38e88c8a8a49d8a;0,1,0,1;0,0,1,1;0.1094,-0.17143,-0.63919,-0.11435
16;0d6ba9f401915778a415d5676dd58ab3;0,1,0,1;0,0,1,1;-0.1094,0.17143,0.63919,0.11435
17;839c78ddf7f16baed83bcc31e518d628;0,1,0,1;0,0,1,1;-0.10106,-0.11604,-0.31232,-0.02047
18;86d677f24d0973d2553ccf4599ed54bf;0,1,0,1;0,0,1,1;0.10106,0.11604,0.31232,0.02047
19;24cb31199bbd5090520314a5dedf073a;0,1,0,1;0,0,1,1;0.093981,0.050041,-0.22424,-0.35281
20;1cdf17f04b50bfbfa3cd111f03de8dfd;0,1,0,1;0,0,1,1;-0.093981,-0.050041,0.22424,0.35281
21;9b3f3d0e0767189db422608b1202352f;0,1,0,1;0,0,1,1;-0.27649,-0.27411,0.12225,0.1527
22;3d0d5a6fb1a5ff2b03980aaec5a14022;0,1,0,1;0,0,1,1;0.27649,0.27411,-0.12225,-0.1527
23;93e1d29af60652e9a20d2fa7c7450947;0,1,0,1;0,0,1,1;-0.022811,0.26374,-0.064546,-0.030795
24;e7412a0e43dd7dfe00b41e845f0d82a7;0,1,0,1;0,0,1,1;0.022811,-0.26374,0.064546,0.030795
25;f421fb78134c4ddea980f3c6d5c8a1e8;0,1,0,1;0,0,1,1;0.27207,-0.39101,0.069884,0.35001
26;81d4f127363643e26c7f4a48faf194c6;0,1,0,1;0,0,1,1;-0.27207,0.39101,-0.069884,-0.35001
