number;id;nodes_x;nodes_y;weights
1;8d71eb4f6e4ece6086c36bae8a79408a;-0.40011006782142955,0.3946958815771074,0.2911465677583102,0.7618651076125211,-0.03887271244022574,-0.5105401900759339,-0.029395730229989175,0.18079451868265198,0.15953957085147688,-0.12062699270668098,-0.3739919325797367,-0.08879739081274717,0.10156859911229477,0.24339475268802388,-0.2444259078381197,-0.540389638754558;-0.08547654946099846,0.03431595269056682,0.14694977807556103,0.16683360713310294,0.08727702016355378,-0.3706905293337923,-0.04350351953278337,-0.3052916978172493,-0.4476652360939567,-0.36098498859631534,0.05327130742786431,0.03847835025540753,0.06528824566781999,-0.016209575848318232,0.220914234655139,0.594301635249344;0.677160617603789,0.26128108890500584,0.4296093762988892,0.3972380014451719,0.2584081282598365,0.3138886607166126,0.22335298369097492,0.37800998955899273,0.6627501341856531,0.5851804474862794,0.35931471538263304,0.30374971584388105,0.3927979966106262,0.3361682918046051,0.5294534490776586,0.591530614816777
2;4d54fda93f0426cc2807eb3fbe18186f;-0.038533934184967956,0.07722904213928275,0.605991737593828,0.282585450932531,0.14555704817871815,-0.0422329933722273,0.0010911811563782319,0.027853803846645663,0.003790622460047938,-0.3537710375156648,0.1778249953212134,-0.14967740761223383,0.29596807731115155,0.5552527695638598,-0.008683384908761234,-0.2137334001913687;-0.04085603879492731,0.190124852754204,0.08785394605494548,0.40017353716415915,0.12757968876485865,-0.37779217003102816,-0.02191218873508392,-0.4939698032637777,-0.232487966365352,0.1172049163292497,0.11887978162045547,-0.11414270693274256,-0.4408167403109445,-0.08858015194772427,0.20297864002810118,0.5346805639810329;0.9153078453412863,0.3051306867730521,0.5510127802842446,0.3529587551764867,0.254903024459629,0.4204095987188916,0.28422231494308076,0.5613811223335999,0.47439894662447385,0.5638725651564113,0.26053195936411866,0.4667894788189533,0.2996006343787204,0.3269385087347157,0.3988310790221442,0.43746234946266616
3;722116a470aaad0969387f13dc14896e;-0.2915043611282148,0.33129878184013345,0.377101488951172,0.65120797530885,0.0516616686956316,-0.4688771049467511,-0.052046460946820625,0.20896552097193963,0.18412765800204456,-0.17573269815071055,-0.2834389799891742,-0.10582718961822409,-0.02380314173333051,0.4458360967228613,-0.3361840730223763,-0.5096140347063802;-0.10032645868868814,0.1602994668431595,0.09351658945903094,0.3249134729469486,-0.05199285806222509,-0.4087769570332398,-0.11274198376465037,-0.4036246407488352,-0.25558642545070087,-0.16611776605824072,0.15754512565605372,-0.26248762658695257,-0.0714920650563631,-0.07262135793845853,0.15278497357530826,0.5350382032728067;0.7529101210910688,0.29782793318649115,0.4257978517667259,0.33603203051724967,0.23373083802846295,0.3031626822485345,0.24276414319761325,0.39192654010082256,0.7012424625507181,0.6283130867084751,0.35282957098137124,0.3225015935968928,0.34237581985901694,0.3248998177630172,0.43310758549286976,0.5525175600315892
4;06fc281ad221ce61651dd52e6096a543;-0.2953060697616509,0.25492254311255536,0.47694625994262585,0.6356973231910907,0.0009630278391032706,-0.24818120325719073,0.008598395471308553,0.05786559355350324,0.029290060372438313,-0.23393495755263052,-0.1045024046949632,-0.13414829265777076,0.3758229105533599,0.29200228253944804,0.014694698285873569,-0.37130001788227046;-0.040860787249701214,0.04208716956569975,0.16059677914223128,0.18474917301337213,0.25235516397608665,-0.3616997430224454,0.0334001163122291,-0.35556389918819664,-0.5055307989157937,-0.24035221949789767,0.015964076186720643,0.24010897453573116,-0.18509747222680747,-0.00027678990065349975,0.28409449725879526,0.6298072788324018;0.7635553268196964,0.24333957760662575,0.5089202019928734,0.4148557872668644,0.26600080072200993,0.3847593987719127,0.22632287568148923,0.4683084537636257,0.4911138021643461,0.519057185971928,0.2768949926506881,0.3683639358675397,0.3567742198731212,0.32398494115346155,0.520917165851799,0.5099262269992139
5;2d091454cf9961e02bfda7902f0094ee;-0.38128511879569965,0.4029285331569755,0.25867241723928697,0.7373804740214133,-0.016292000125859976,-0.6524955834998207,-0.054648384571198895,0.2506308661915407,0.27356447574397075,-0.09191989875949297,-0.43758069297859487,-0.057006326054372586,-0.16747747932302123,0.3417798761810436,-0.44414798181371395,-0.6214659994725351;-0.07652544553790452,0.10825605538303221,0.12213478542951844,0.28734607300128456,-0.1125175538210852,-0.37678119935987187,-0.09023574621281243,-0.38633340630213714,-0.18793163626317105,-0.2770675325994657,0.15641277910261916,-0.32832399500671255,0.10676308141543728,-0.05752456590849971,0.07117932233206099,0.5538046710855729;0.6924312022015295,0.3012685039546657,0.4111781074669829,0.3346073511523727,0.24076749068498915,0.26939326321970697,0.25080270501671104,0.33573071266249377,0.7841920137172724,0.6755353246320415,0.4263793824870071,0.2823401044075786,0.39298050208208773,0.3441606645598348,0.4456760023013123,0.6199813738543806
6;6d9507a79d38090cb620b596a8231fcb;-0.06188372960972139,0.07265478374923982,0.584669402093817,0.3858981833463329,0.11682885164636135,0.2281324368759458,0.04318667969893918,-0.08740210569543244,-0.16266727667187006,-0.37109574483795726,0.24567864475063667,-0.19582203119069633,0.5850986994627093,0.40012882803065264,0.31148238070613415,-0.04001844263785818;-0.08824037108538395,0.02027369795078752,0.1164040197948536,0.18893385770252863,0.39553551204081133,-0.35377076680585245,0.06203324648882113,-0.33394909988850635,-0.6005001205230757,-0.0661495661954165,-0.057909711816823306,0.43104870366427767,-0.445604313667952,-0.030064566494874403,0.3997558506851388,0.5725834866484093;0.8550006369326308,0.25716536629566256,0.5867564879954321,0.49297466638025167,0.3063109600662059,0.5393068657459816,0.25518878477695783,0.6572576705394294,0.37300192065200843,0.4528263909155099,0.22182096511302243,0.5349175129623223,0.3137739624343026,0.3360697897289634,0.5543680443669238,0.4187706200072266
7;0517109d0e050334b7f582939e9b80b8;-0.39625050143214163,0.38086809760653906,0.29822467952565135,0.7629607777842972,-0.01924822438294049,-0.4217344960610452,0.0010096874143859088,0.1417047638604484,0.10898445930792387,-0.1540131017013838,-0.3286807893996345,-0.13431291371192963,0.21254009871198412,0.243164998024137,-0.1703534395911971,-0.4876763243103533;-0.11618051722694042,0.023574466723736368,0.13204337219456075,0.12619947194173703,0.14491887392281294,-0.39536493856115223,-0.06566963295665902,-0.2877213499999837,-0.5478895761086798,-0.37217685229895425,0.024188792846286493,0.1500090402103864,0.025196687738281365,-0.00657458726315496,0.25946738639172195,0.5998220094754694;0.6811709508809543,0.2512722401070177,0.4377767362332519,0.43001458859136604,0.2655128644002502,0.34393365866388875,0.21210426258836504,0.4059529330738871,0.6200552811264719,0.5452843003971799,0.32828864976790956,0.3191701163789316,0.3842389015613908,0.3318204772528458,0.5583599616660005,0.57049309364597
8;e90de9eb309079cbd04743fee0279050;-0.08658513335436366,0.12751789857028722,0.5926147224182575,0.3256996264126984,0.09914579308432246,-0.24947254124379134,-0.04784085519092776,0.10581351150046044,0.10310232022127712,-0.29469092589661094,0.06423819292225717,-0.07656685838093713,0.1193416347957263,0.5450799728240436,-0.15407498063478894,-0.35426583659138156;0.015133507524371903,0.2126218299369958,0.11998308042202757,0.4433288614007667,0.029214606806154033,-0.3448331287180315,0.007074610417714316,-0.5192904040506594,-0.03961970695380629,0.10471150878284748,0.16453520861839901,-0.2785482692229355,-0.36826477131822766,-0.10168273314395236,0.13998516505275652,0.5417217471493642;0.8971406878074791,0.3145188120976285,0.5245627768247015,0.3029568475238442,0.23667739586945521,0.3501622854053275,0.29292842484181053,0.48563400214098706,0.539042387884341,0.6289356857563633,0.29801061539838014,0.4118849521059581,0.31157478679744316,0.32634882475043886,0.3639240470732804,0.47271693101043644
9;3826b077bce2808cb8954ab6bfd26a3d;-0.25229819528009834,0.2546059793983693,0.5454189999276348,0.5375259925782087,-0.09613311186032414,-0.5357269490321634,-0.1229824144313911,0.18027277438976208,0.18608426138930015,-0.1343009391239611,-0.18129816547600863,0.09378956672821451,0.03218098125631373,0.2877428315527727,-0.17005724310002632,-0.5407975577255587;0.1608079102538481,0.08630308011268917,0.25735371257882395,0.36561031361687313,0.10925917738004297,-0.20195483383923332,0.20587511657867189,-0.4467477251258348,0.03563360766268757,-0.12310171995289852,0.10348848967193688,-0.11474334228188468,-0.1286951801024767,-0.04048213498945058,0.16912880103017378,0.6242021893182449;0.7869462769407435,0.27918982209428517,0.5120705792195877,0.2905666884669118,0.24249860494694767,0.2787897896037311,0.2921384672924553,0.3821783984102029,0.5658938643338235,0.6793937183112239,0.3674287493521666,0.3298748214205406,0.3870341354316227,0.3420672824469471,0.40695900707721167,0.5631959245613175
10;fba51e57b94a49814d466c18e0881f5a;-0.32647139286944216,0.3198108915174458,0.261201191800543,0.7267428153371579,0.17110088305979376,-0.1555952868969928,0.1009012836196568,0.06303062743978007,-0.00039813639096216135,-0.27579003153788784,-0.2018939776108509,-0.3212007089888088,0.32199806344808946,0.44161222125222593,-0.16641419356112971,-0.32023213257706784;-0.3086828273099931,0.10513977176790523,-0.025819739667195016,0.1334713423653286,0.09560001212644478,-0.5389729576247674,-0.2934258744706151,-0.28990018092655523,-0.6935537388220218,-0.2807062159947883,0.04882165307008926,0.07021083093626647,-0.1436061605361159,-0.03457349578748835,0.26082725099785536,0.5143202367265738;0.7339221507112559,0.27352370016353617,0.4212392840904769,0.4973115148146921,0.26494804415633044,0.43034394390392483,0.19632365782984354,0.4974674564214194,0.6280922862795952,0.4774287726055225,0.27707372170076333,0.38012673958960624,0.3277116536393524,0.3219643260860068,0.559474629497099,0.5038162650949081
